"","ensembl_gene_id","Sample_siESR1_3","Sample_siESR1_1","Sample_siCTL_2","Sample_siRecQ1_3","Sample_siRecQ1_2","Sample_siCTL_1","Sample_siESR1_2","Sample_siCTL_3","Sample_siRecQ1_1"
"TSPAN6","ENSG00000000003",38.7262300724907,40.9276749597962,41.3154101756629,38.6770348768025,36.2843514656612,38.5683319166053,38.4452545928308,38.3536369932493,30.3686082450775
"DPM1","ENSG00000000419",90.4166058344847,95.1146024151687,91.5380403282957,111.096448456471,105.313819480032,99.9293038561852,90.4030707999287,83.6175673550699,87.0289430804138
"SCYL3","ENSG00000000457",15.9866199121138,17.0445930752867,15.2270686820986,12.6009779628623,15.6336350819374,14.0582813975766,16.0628055189299,15.7458125751987,14.2968196806735
"C1orf112","ENSG00000000460",29.5540969971671,31.9559718995152,19.4456689683663,24.1021944443655,20.7945877218113,20.2302098160248,32.8950203297766,20.4955076678324,20.370818668577
"FUCA2","ENSG00000001036",93.3119317051404,95.0632081444336,109.301402156379,139.552343337106,111.172260366954,109.27602806124,85.845858555505,108.472896795353,109.675327325711
"GCLC","ENSG00000001084",46.4825565533901,54.2103951589044,54.6762401411178,46.8392229266656,52.0238758524309,52.0050411004549,52.5376462763668,49.3075081408099,48.8116443025903
"NFYA","ENSG00000001167",43.3246236290239,42.7112204282277,50.5748930895751,37.423365470451,43.9958551871498,48.5463326253529,46.7897655897009,47.9495902299553,44.8734320918131
"STPG1","ENSG00000001460",6.51171309237509,6.54748928542612,6.29040958825561,7.575364072422,6.33062661852507,6.54417502843045,6.65544079508677,6.81976550784764,6.79480275803103
"NIPAL3","ENSG00000001461",26.5634791154603,28.0204380172,26.8223064843219,22.2192896912941,26.4432641978017,24.3353732996387,24.7562229574819,27.2790620313906,26.4581299231086
"LAS1L","ENSG00000001497",48.0061206835668,46.4191175862827,51.505873708637,63.0569037577663,54.4984628675355,57.0811312365759,51.3023561287939,53.6226695019701,56.6603348353363
"ENPP4","ENSG00000001561",23.5182899367272,28.9356784549477,23.2996771148988,19.0984530839935,24.2567076015483,24.8330291953369,27.1763832466043,20.9119358271611,24.4335560401034
"SEMA3F","ENSG00000001617",79.7239557572447,73.101896502159,82.6056587129727,77.033983947728,77.2301342853565,78.4056863672409,73.4871587790831,80.9620834405098,85.1153047526417
"ANKIB1","ENSG00000001629",126.206512310635,151.202413856633,135.218644509143,76.2337694330355,119.326887809752,127.051550171733,149.091957811148,120.764166205337,122.084578534092
"CYP51A1","ENSG00000001630",121.911169510177,131.110304800681,141.907866065294,103.334100925782,113.339250461227,142.792157324718,125.59447030404,133.043365233892,109.880003425116
"KRIT1","ENSG00000001631",41.6520272257499,46.804457278278,37.5160027843565,30.1579511533865,36.4282228037486,39.712940476711,45.9180036855566,36.3016721501801,35.9103939067499
"RAD52","ENSG00000002016",5.69979191682094,5.04203610384875,5.89386216781198,5.13844413701188,6.03252520600782,6.0793644218484,4.98931169604403,5.42865404806102,5.53485218947042
"BAD","ENSG00000002330",56.7242316480977,52.9184980794682,40.0115340762093,61.5194249368705,43.8819090873845,38.7992442522093,45.1753169968322,44.369515097871,45.709608839383
"LAP3","ENSG00000002549",58.864977756826,65.5922313719212,67.4080291477472,71.6725466992885,65.7779757735935,67.3826082775273,62.520807468997,63.158270831527,66.7554703615538
"CD99","ENSG00000002586",52.2998014140647,50.5259657043815,67.1060894875109,85.702974523563,65.4326845621836,67.2084287140329,46.1847255174203,70.2797958751201,67.0882770272533
"MAD1L1","ENSG00000002822",31.7732374056844,28.1612442383919,29.112015574447,35.3961553665634,29.6662699136373,28.9386903348465,28.6637734242942,28.1239887314779,30.7846165772018
